Focus Area Category,Focus Area,Description
Arts & Culture,Sports,
Arts & Culture,Music,
Arts & Culture,Arts & Culture,
Arts & Culture,Performance,
Capacity Building,Youth Leadership,
Capacity Building,Community Leadership,
Capacity Building,Skills Training,
Capacity Building,Cradle to Career,
Social Systems,Care Support Systems,
Social Systems,Social Justice,
Social Systems,Criminal Justice,
Economic Development,Economic Opportunity,
Economic Development,Retail,
Economic Development,Industry,
Economic Development,Economic Mobility & Generational Wealthbuilding,
Built Environment,Housing,"Includes homelessness, affordable housring"
Built Environment,Public Space,